date,callsAnswered
2016-11-07,5884
2016-11-08,5600
2016-11-09,5650
2016-11-10,5517
2016-11-11,5566
2016-11-12,2698
2016-11-13,1855
2016-11-14,
2016-11-15,
2016-11-16,
2016-11-17,
2016-11-18,
2016-11-19,
2016-11-20,
2016-11-21,7283
2016-11-22,7059
2016-11-23,6960
2016-11-24,6625
2016-11-25,6465
2016-11-26,2854
2016-11-27,2138
2016-11-28,7032
2016-11-29,6849
2016-11-30,6417
2016-12-01,6115
2016-12-02,6527
2016-12-03,2965
2016-12-04,2089
2016-12-05,
2016-12-06,
2016-12-07,
2016-12-08,
2016-12-09,
2016-12-10,
2016-12-11,
2016-12-12,2459
2016-12-13,1870
2016-12-14,6629
2016-12-15,6351
2016-12-16,5739
2016-12-17,2717
2016-12-18,1935
2016-12-19,6528
2016-12-20,6273
2016-12-21,6730
2016-12-22,6339
2016-12-23,6437
2016-12-24,3213
2016-12-25,3143
2016-12-26,6286
2016-12-27,6591
2016-12-28,6267
2016-12-29,6020
2016-12-30,5426
2016-12-31,2443
2017-01-01,1467
2017-01-02,5419
2017-01-03,5760
2017-01-04,6012
2017-01-05,5742
2017-01-06,5370
2017-01-07,3080
2017-01-08,1953
2017-01-09,6539
2017-01-10,6064
2017-01-11,5934
2017-01-12,2042
2017-01-13,6256
2017-01-14,2293
2017-01-15,1935
2017-01-16,6398
2017-01-17,6079
2017-01-18,5932
2017-01-19,5911
2017-01-20,6568
2017-01-21,3076
2017-01-22,2206
2017-01-23,
2017-01-24,
2017-01-25,
2017-01-26,
2017-01-27,
2017-01-28,
2017-01-29,
2017-01-30,7868
2017-01-31,7525
2017-02-01,7890
2017-02-02,7837
2017-02-03,7599
2017-02-04,3132
2017-02-05,3342
2017-02-06,8502
2017-02-07,9304
2017-02-08,9388
2017-02-09,9145
2017-02-10,4229
2017-02-11,4868
2017-02-12,4184
2017-02-13,9332
2017-02-14,9500
2017-02-15,9119
2017-02-16,8374
2017-02-17,7632
2017-02-18,3475
2017-02-19,2373
2017-02-20,7659
2017-02-21,6659
2017-02-22,6197
2017-02-23,6363
2017-02-24,3036
2017-02-25,2668
2017-02-26,1808
2017-02-27,6656
2017-02-28,5901
2017-03-01,5586
2017-03-02,5635
2017-03-03,5457
2017-03-04,2436
2017-03-05,1865
2017-03-06,
2017-03-07,
2017-03-08,
2017-03-09,
2017-03-10,
2017-03-11,
2017-03-12,
2017-03-13,6521
2017-03-14,5985
2017-03-15,5667
2017-03-16,6625
2017-03-17,5197
2017-03-18,2377
2017-03-19,1733
2017-03-20,
2017-03-21,
2017-03-22,
2017-03-23,
2017-03-24,
2017-03-25,
2017-03-26,
2017-03-27,6000
2017-03-28,6253
2017-03-29,5520
2017-03-30,5372
2017-03-31,4950
2017-04-01,2277
2017-04-02,1663
2017-04-03,5768
2017-04-04,5369
2017-04-05,5520
2017-04-06,5054
2017-04-07,5778
2017-04-08,2805
2017-04-09,1860
2017-04-10,1791
2017-04-11,5116
2017-04-12,4028
2017-04-13,2296
2017-04-14,2304
2017-04-15,2024
2017-04-16,1884
2017-04-17,4642
2017-04-18,4764
2017-04-19,5245
2017-04-20,5338
2017-04-21,4926
2017-04-22,2346
2017-04-23,1646
2017-04-24,5568
2017-04-25,5003
2017-04-26,5206
2017-04-27,5338
2017-04-28,5032
2017-04-29,2451
2017-04-30,1829
2017-05-01,1826
2017-05-02,5624
2017-05-03,5252
2017-05-04,5514
2017-05-05,5789
2017-05-06,2424
2017-05-07,1729
2017-05-08,5621
2017-05-09,5070
2017-05-10,1272
2017-05-11,1849
2017-05-12,5316
2017-05-13,2372
2017-05-14,1891
2017-05-15,
2017-05-16,
2017-05-17,
2017-05-18,
2017-05-19,
2017-05-20,
2017-05-21,
2017-05-22,
2017-05-23,
2017-05-24,
2017-05-25,
2017-05-26,
2017-05-27,
2017-05-28,
2017-05-29,
2017-05-30,
2017-05-31,
2017-06-01,
2017-06-02,
2017-06-03,
2017-06-04,
2017-06-05,5891
2017-06-06,6589
2017-06-07,6190
2017-06-08,1679
2017-06-09,5511
2017-06-10,2446
2017-06-11,1891
2017-06-12,6255
2017-06-13,6550
2017-06-14,6602
2017-06-15,5836
2017-06-16,5710
2017-06-17,2723
2017-06-18,1741
2017-06-19,6579
2017-06-20,6544
2017-06-21,6984
2017-06-22,6774
2017-06-23,6359
2017-06-24,3191
2017-06-25,1867
2017-06-26,
2017-06-27,
2017-06-28,
2017-06-29,
2017-06-30,
